"","churned","CreationDatePeriods","Company_Number","total_products","total_transactions","total_revenue","total_usage","total_accounts"
"7671","No","2000 - 2004",343758,1,38,33204.23,138002,1
"7672","No","2000 - 2004",343759,1,17,5023.55,23929,1
"7673","No","2000 - 2004",343762,1,78,7040.84,79808,1
"7674","No","2000 - 2004",343768,1,38,4647.13,82362,1
"7675","No","2000 - 2004",343771,3,81,11827.42,177312,1
"7676","Yes","2000 - 2004",343772,1,12,120.25,4367,1
"7677","No","2000 - 2004",343779,1,16,42.88,1072,1
"7678","No","2000 - 2004",343788,1,37,3073.07,23639,1
"7679","No","2000 - 2004",343790,1,12,162.8,1628,2
"7680","No","2000 - 2004",343793,1,23,760.33,8845,1
"7681","No","2000 - 2004",343797,1,72,22453.51,803653,25
"7682","No","2000 - 2004",343800,1,40,2830.56,27647,1
"7683","No","2000 - 2004",343802,1,12,64.17,713,1
"7684","No","2000 - 2004",343804,2,90,23637.85,122204,1
"7685","Yes","2000 - 2004",343806,3,94,49235.35,625707,1
"7686","No","2000 - 2004",343813,2,108,24575.94,255042,1
"7687","No","2000 - 2004",343878,1,18,519.17,48306,5
"7688","Yes","2000 - 2004",343886,1,26,4320.34,11728,1
"7689","No","2000 - 2004",343896,1,23,944.54,2534,2
"7690","No","2000 - 2004",343903,1,54,1487.89,7004,1
"7691","No","2000 - 2004",343906,2,33,2903.6,7423,2
"7692","No","2000 - 2004",343918,2,89,8496.31,286533,2
"7693","No","2000 - 2004",343932,1,18,650.38,1618,1
"7694","No","2005 - 2009",343943,1,1,0.06,1,1
"7695","No","2005 - 2009",343944,1,19,2336.74,9072,1
"7696","No","2005 - 2009",343948,1,46,7204.58,20798,1
"7697","No","2005 - 2009",343950,1,10,783.46,4199,1
"7698","No","2005 - 2009",343954,1,12,788.93,4490,1
"7699","No","2005 - 2009",343955,5,665,2496719.68,83634598,15
"7700","No","2005 - 2009",343957,1,12,808.9,2085,1
"7701","No","2005 - 2009",343960,1,39,1081.64,14681,1
"7702","No","2005 - 2009",343965,4,120,64089.76,1054481,1
"7703","No","2005 - 2009",343974,1,76,12184.95,34666,1
"7704","No","2005 - 2009",343978,1,36,2320.73,31132,1
"7705","No","2005 - 2009",343987,1,26,3262.05,7773,1
"7706","No","2005 - 2009",343992,1,31,346.36,741,1
"7707","No","2000 - 2004",344000,1,37,1171.38,22028,1
"7708","Yes","2000 - 2004",344005,1,8,303.96,4484,2
"7709","No","2000 - 2004",344012,1,2,10.8,135,1
"7710","No","2000 - 2004",344014,1,34,970.94,5328,1
"7711","Yes","2000 - 2004",344016,1,14,2398.2,11991,1
"7712","No","2000 - 2004",344017,1,52,2387.74,29597,1
"7713","No","2000 - 2004",344032,1,2,15.45,103,1
"7714","No","2000 - 2004",344034,1,42,5164.42,46387,1
"7715","No","2000 - 2004",344036,1,2,0.39,3,1
"7716","No","2000 - 2004",344039,1,57,4039.1,75794,1
"7717","No","2000 - 2004",344047,1,69,26479.12,377627,1
"7718","No","2000 - 2004",344049,1,35,2366.08,23461,1
"7719","No","2000 - 2004",344056,3,120,31435.6,642453,1
"7720","No","2000 - 2004",344057,1,2,26.6,133,1
"7721","No","2000 - 2004",344058,2,42,1626.76,15505,1
"7722","No","2000 - 2004",344131,1,68,7945.44,18987,3
"7723","No","2000 - 2004",344134,1,2,45.92,121,1
"7724","No","2000 - 2004",344142,2,65,49907.28,135832,1
"7725","No","2000 - 2004",344146,3,129,80716.16,507903,15
"7726","No","2000 - 2004",344150,1,33,14447.59,36544,1
"7727","No","2000 - 2004",344159,2,69,9080.47,76181,2
"7728","No","2000 - 2004",344177,1,90,23805.04,75942,1
"7729","Yes","2005 - 2009",344206,2,48,1650.27,6636,2
"7730","No","2005 - 2009",344209,1,20,831.79,3,1
"7731","No","2005 - 2009",344224,1,19,186.41,840,1
"7732","No","2005 - 2009",344238,1,14,164,3067,1
"7733","Yes","2005 - 2009",344239,1,9,355.61,853,1
"7734","No","2000 - 2004",344253,1,16,287.2,2872,1
"7735","No","2000 - 2004",344262,1,39,1893.4,23168,1
"7736","No","2000 - 2004",344263,1,35,3669.2,36152,1
"7737","No","2000 - 2004",344272,3,54,72392.02,407363,1
"7738","No","2000 - 2004",344278,1,28,1527.96,7276,1
"7739","No","2000 - 2004",344279,1,40,5157.18,50233,2
"7740","No","2000 - 2004",344282,1,40,1611.05,31087,1
"7741","No","2000 - 2004",344285,1,14,647.2,6472,1
"7742","No","2000 - 2004",344294,2,55,4669.08,80008,1
"7743","No","2000 - 2004",344298,1,38,2410.74,13282,1
"7744","No","2000 - 2004",344303,1,9,60.93,2031,1
"7745","No","2000 - 2004",344304,1,6,71.69,1302,1
"7746","No","2000 - 2004",344373,2,112,35461.46,146111,1
"7747","No","2000 - 2004",344382,2,76,7906.15,95122,1
"7748","No","2000 - 2004",344388,1,53,6777.28,17141,1
