"","churned","CreationDatePeriods","Company_Number","total_products","total_transactions","total_revenue","total_usage","total_accounts"
"1","No","90s",79,1,6,7.11e-15,13,1
"2","No","90s",182,1,38,3860.44,10088,1
"3","No","90s",246,5,608,805172.93,17895716,3
"4","No","90s",282,3,32,4507.74,198452,1
"5","No","90s",291,1,1,0.4,38,1
"6","No","90s",355,1,2,0.7,7,1
"7","No","90s",428,5,405,474292.74,4326739,1
"8","No","90s",510,1,9,40.64,1623,2
"9","No","90s",524,5,517,597292.87,31626890,2618
"10","No","90s",597,1,74,22039.28,38319,1
"11","No","90s",1017,1,82,5757.37,77033,4
"12","No","90s",1606,1,4,1.5,15,1
"13","No","90s",1618,3,146,21509.95,671875,1
"14","No","90s",1648,5,366,488710.13,32604529,394
"15","No","90s",1766,1,8,313.65,2383,1
"16","No","90s",2290,3,131,71854.55,556449,8
"17","No","90s",2901,2,25,865.49,4300,1
"18","No","90s",3156,1,20,145.31,11283,1
"19","Yes","90s",3190,3,153,48533.67,1213216,1
"20","No","90s",3281,1,4,1234.48,7038,1
"21","No","90s",3427,1,2,0.1,1,1
"22","No","90s",3488,4,480,642393.78,21554794,1
"23","Yes","90s",3724,1,2,4.26,0,1
"24","No","90s",4060,5,529,2416936.16,8016935,1
"25","No","90s",4071,4,180,106915.93,948706,1
"26","No","90s",4150,3,89,8929.98,39835,1
"27","No","90s",4164,1,50,3427.7,197730,4
"28","No","90s",4500,3,110,27749.91,213528,1
"29","No","90s",4531,4,73,3998.01,31044,2
"30","No","90s",4771,2,36,47826.79,132326,2
"31","No","90s",5767,1,2,3.21,15,1
"32","No","90s",6058,3,342,338862.87,933528,11
"33","No","90s",6428,1,5,778.33,1640,2
"34","No","90s",6756,3,129,45500.16,516717,2
"35","No","90s",7082,1,3,-16.08,0,1
"36","No","90s",7379,1,119,27957.72,59441,2
"37","No","90s",8911,2,22,5268.86,6253,2
"38","No","90s",9107,1,2,0.13,9,1
"39","No","90s",9796,2,188,60402.77,2245764,1
"40","No","90s",9930,4,208,910863.62,165107,4
"41","No","90s",10077,1,15,150.1,198,1
"42","No","90s",10106,1,71,13073.45,68607,1
"43","No","90s",11016,1,57,10486.58,64830,1
"44","No","90s",11130,1,5,-268.2,1658,1
"45","No","90s",11539,2,83,128238.15,19913,4
"46","No","90s",11717,2,4,16.05,2,1
"47","No","90s",11891,6,589,598816.51,10042862,6
"48","No","90s",11902,1,2,20.92,39,1
"49","No","90s",12114,1,17,36.21,0,1
"50","No","90s",12224,2,5,8.33e-16,12,1
"51","No","90s",12524,2,20,22980.5,71,2
"52","No","90s",13090,4,345,910567.93,726465,1
"53","No","90s",13690,1,56,13559.63,40372,1
"54","No","90s",13701,1,20,560.77,4034,1
"55","Yes","90s",13704,2,80,28408.57,74803,2
"56","Yes","90s",13735,2,86,167956.01,4008176,2
"57","No","90s",13948,1,54,3436.66,10265,1
"58","Yes","90s",14257,1,3,321.05,5059,1
"59","No","90s",14290,4,20,4705.85,2979,5
"60","No","90s",14321,2,3,7.5,9,1
"61","No","90s",14396,1,16,0,0,1
"62","No","90s",14516,1,19,173.02,2821,1
"63","No","90s",14594,8,527,538059.57,5561074,2
"64","No","90s",14623,1,52,3179.66,104286,1
"65","No","90s",14649,6,555,983736.4,41890014,2
"66","No","90s",14661,1,56,2818.46,17413,1
"67","No","90s",14929,1,17,37.23,0,1
"68","Yes","90s",15372,2,83,38076.5,271819,2
"69","No","90s",15608,4,535,302781.18,7703602,45
"70","No","90s",15943,3,37,10253.82,15952,2
"71","No","90s",16125,2,47,59838.61,821931,1
"72","No","90s",16399,1,1,58.67,435,1
"73","No","90s",16519,2,8,-7175.98,0,1
"74","No","90s",16626,1,96,11213.57,20038,1
"75","No","90s",17244,1,35,779.85,26383,3
"76","No","90s",17709,5,335,518926.44,869153,3
"77","No","90s",17784,2,13,7661.29,813,1
"78","No","90s",18122,4,574,1996913.41,44260729,3
"79","No","90s",18677,2,165,144090.13,1286445,1
"80","No","90s",18780,4,423,888574.02,3233364,3
"81","Yes","90s",18849,1,2,245.9,279,1
"82","No","90s",18976,1,24,712.48,4844,1
"83","No","90s",19205,3,365,183727.78,5805177,1
"84","No","90s",19244,2,7,-1473.17,0,1
"85","No","90s",19364,6,606,1052322,5963615,148
"86","No","90s",19679,1,2,4.74,163,1
"87","No","90s",19874,1,32,852.09,28245,3
"88","No","90s",20109,2,78,8403.28,12755,1
"89","No","90s",20115,2,82,11732.09,319242,1
"90","No","90s",20189,5,215,129903.92,762600,1
"91","No","90s",20239,1,5,963.23,4508,1
"92","No","90s",20329,2,13,117.91,8116,2
"93","No","90s",20507,1,23,2374.09,25733,1
"94","No","90s",20693,3,172,39268.81,125409,1
"95","No","90s",21285,6,405,573973.11,32941724,1
"96","No","90s",21408,4,290,286808.22,20241159,3
"97","No","90s",21551,1,78,17068.14,90738,4
"98","No","90s",21668,1,3,-49.98,0,1
"99","No","90s",21672,5,417,782837.05,8518583,89
"100","No","90s",21774,1,29,8797.52,10974,1
"101","No","90s",21810,4,200,207282.09,88128,7
"102","No","90s",21845,1,6,317.17,448,1
"103","No","90s",22136,2,7,39.03,1697,1
"104","No","90s",22253,1,24,296.45,2582,1
"105","No","90s",22659,1,21,798.72,1503,1
"106","No","90s",22974,1,95,6968.33,32879,1
"107","No","90s",23281,1,3,109.21,166,1
"108","No","90s",23293,1,82,17565.72,28906,1
"109","No","90s",23316,1,2,0.2,2,1
"110","No","90s",23483,1,21,18.47,1284,1
"111","Yes","90s",23528,2,67,11975.06,135794,1
"112","No","90s",23739,2,139,78252.5,452102,3
"113","No","90s",23837,1,11,878.59,1156,1
"114","No","90s",24305,3,203,51498.52,1178578,1
"115","No","90s",24656,1,3,157.74,370,1
"116","No","90s",25068,1,2,165.17,3446,1
"117","No","90s",25145,1,34,1543.14,21905,2
"118","No","90s",25146,1,47,4682.67,43755,2
"119","No","90s",25518,2,48,46393.89,1950,1
"120","No","90s",25800,7,543,680797.91,18106361,15
"121","Yes","90s",26114,1,35,985.26,8964,3
"122","No","90s",26262,3,145,97802.67,3561231,1
"123","No","90s",26294,4,439,382632.01,7395639,2
"124","No","90s",26618,1,14,55.24,3407,3
"125","Yes","90s",26984,1,7,-8.76,0,1
"126","No","90s",27207,5,639,1245778.39,12980887,4
"127","No","90s",27224,9,1124,14917779.62,861482918,22
"128","No","90s",27262,2,56,5000.48,35139,7
"129","No","90s",27345,1,12,26.28,0,1
"130","No","90s",27499,1,33,174.93,6235,1
"131","No","90s",27622,4,264,835136.92,39414477,2
"132","No","90s",27697,1,38,5540.5,109258,1
"133","No","90s",27719,2,76,34459.8,299735,1
"134","No","90s",27818,3,135,44624.4,1183046,2
"135","No","90s",27839,2,111,22282.7,70191,4
"136","No","90s",28189,2,123,9399.51,427780,7
"137","No","90s",28363,1,1,2.49,0,1
"138","No","90s",28556,1,64,4753.96,29650,1
"139","No","90s",29179,2,8,7792.25,242,1
"140","No","90s",30520,5,454,661777.24,23166955,2
"141","No","90s",32648,1,18,14539.77,11202,1
"142","No","90s",35038,1,40,733.95,28381,1
"143","No","90s",35776,1,19,883.83,4800,1
"144","No","90s",36605,6,422,271211.55,1645248,3
"145","No","90s",36659,1,57,5525.33,28186,1
"146","No","90s",36660,1,38,10196.05,644657,23
"147","No","90s",36749,2,22,424.71,17625,1
"148","No","90s",36755,2,15,92.52,2051,2
"149","Yes","90s",37234,1,59,9501.58,71941,2
"150","No","90s",37347,7,930,9901591.39,465520564,9
"151","Yes","90s",37631,2,10,-2084.12,14314,1
"152","No","90s",37839,6,632,3745681.36,109128108,2
"153","No","90s",37889,5,90,2110642.87,6360,3
"154","No","90s",37905,2,25,3947.86,267,1
"155","Yes","90s",38056,4,289,132641.44,2429909,1
"156","No","90s",38133,1,17,1165.48,65710,1
"157","Yes","90s",38151,1,25,123.06,3266,1
"158","No","90s",38276,3,364,259203.53,697600,3
"159","No","90s",38738,3,107,195328.13,1713582,1
"160","No","90s",38820,3,243,180025.94,1471879,2
"161","No","90s",38864,4,223,60259.05,165105,2
"162","No","90s",39121,1,83,2839.19,12235,1
"163","No","90s",39638,1,42,2732.8,3376,1
"164","No","90s",39938,3,120,19519.23,697551,1
"165","No","90s",39993,2,128,160463.37,237726,1
"166","No","90s",40206,1,24,17018.9,313983,1
"167","No","90s",40456,2,442,545590.61,2798266,1
"168","No","90s",40614,2,6,0.06,42,2
"169","No","90s",40765,2,27,4541.41,303090,5
"170","No","90s",41212,1,6,0,747,1
"171","No","90s",41452,1,15,377.82,1693,1
"172","No","90s",42105,1,16,0,0,1
"173","No","90s",42156,1,4,41.22,2,1
"174","No","90s",42732,2,20,74.21,4653,1
"175","No","90s",42745,1,64,3559.18,8422,1
"176","No","90s",42803,1,90,28100.02,170671,1
"177","No","90s",42825,4,345,141930.95,918858,1
"178","No","90s",42833,4,216,144785.43,4979763,1
"179","No","90s",42863,1,17,349.75,1207,1
"180","No","90s",42873,6,353,639170.69,5730318,4
"181","No","90s",42943,3,87,480673.65,517227,2
"182","No","90s",42997,1,13,140.16,0,1
"183","No","90s",43226,6,693,669687.59,13302958,2
"184","No","90s",43286,2,133,33769.15,142247,1
"185","No","90s",43803,3,120,109256.05,1916271,2
"186","No","90s",43881,5,257,378992.88,3364204,1
"187","No","90s",43975,1,3,11.57,551,1
"188","No","90s",44056,3,85,106483.25,126891,1
"189","No","90s",44145,2,83,24424.26,96390,1
"190","No","90s",44320,4,167,6758.73,63878,1
"191","No","90s",44366,1,4,34.13,1552,1
"192","No","90s",44390,2,26,5931,21068,1
"193","No","90s",44419,4,356,581465.78,6951435,1
"194","No","90s",44490,1,21,542.9,1348,1
"195","No","90s",44966,4,407,164044.36,873878,1
"196","No","90s",44980,2,59,4913.53,10623,1
"197","No","90s",45826,5,204,55341.46,1352050,1
"198","No","90s",45851,4,188,115508.03,132211,3
"199","No","90s",46199,3,70,25071.2,273694,1
"200","No","90s",46269,3,128,61557.48,2959360,5
"201","No","90s",46280,2,70,18861.54,132292,1
"202","No","90s",46362,7,582,2048396.23,54982862,4
"203","No","90s",46878,1,17,1000.45,0,1
"204","No","90s",47087,4,224,344126.33,4668333,2
"205","No","90s",47097,2,214,244345.29,20247080,1
"206","No","90s",47242,4,271,75799.47,3179848,1
"207","No","90s",47308,1,8,9782.82,0,1
"208","No","90s",47321,1,17,18190,0,1
"209","No","2000 - 2004",47779,5,285,184004.47,2767572,2
"210","No","2000 - 2004",47801,1,15,32.85,0,1
"211","Yes","2000 - 2004",47816,1,2,163.62,110,1
"212","No","2000 - 2004",47981,4,144,80984.8,1059034,3
"213","No","2000 - 2004",48482,2,75,4140.49,134884,2
"214","No","2000 - 2004",48558,6,394,452132.81,5506870,2
"215","No","2000 - 2004",48582,1,76,2312.08,53604,1
"216","No","2000 - 2004",48713,3,107,16712.59,83417,6
"217","No","2000 - 2004",48810,1,3,16.18,44,1
"218","No","2000 - 2004",48817,1,5,23.45,1554,1
"219","No","2000 - 2004",49121,4,347,446109.36,18484823,151
"220","No","2000 - 2004",49181,3,103,192208.9,79019,2
"221","No","2000 - 2004",49235,3,108,3316.29,127349,3
"222","No","2000 - 2004",49343,1,2,3.46,381,1
"223","No","2000 - 2004",49461,5,275,88360.57,2448203,1
"224","No","2000 - 2004",49735,3,214,738298.67,10032665,1
"225","No","2000 - 2004",50016,1,67,10653.07,16961,1
"226","Yes","2000 - 2004",50105,1,1,0,0,1
"227","No","2000 - 2004",50263,5,234,131120.8,3023135,1
"228","No","2000 - 2004",50617,3,123,188057.72,561022,1
"229","No","2000 - 2004",50822,2,52,12433.35,35353,1
"230","No","2000 - 2004",50912,4,516,495976.03,1127114,1
"231","No","2000 - 2004",51197,3,41,3383.77,262289,1
"232","No","2000 - 2004",51298,4,333,65518.04,292642,1
"233","No","2000 - 2004",51487,1,20,380.69,29560,1
"234","No","2000 - 2004",51659,6,225,96482.89,2494039,1
"235","No","2000 - 2004",51753,1,2,4.38,0,1
"236","No","2000 - 2004",51847,3,151,236311.05,5628325,2
"237","No","2000 - 2004",51968,1,51,895.51,7251,2
"238","No","2000 - 2004",52143,5,557,1539061.51,5786102,29
"239","No","2000 - 2004",52417,6,312,222636.98,8322496,20
"240","No","2000 - 2004",52646,2,52,5292.01,52281,1
"241","No","2000 - 2004",52817,2,85,5803.43,39930,1
"242","No","2000 - 2004",52849,2,164,67022.23,456661,1
"243","No","2000 - 2004",52889,5,285,119154.69,776889,1
"244","No","2000 - 2004",52927,4,346,156470.28,2227160,5
"245","No","2000 - 2004",53006,3,98,98027.52,21334,1
"246","No","2000 - 2004",53321,4,356,416887.67,1445067,273
"247","No","2000 - 2004",53915,1,12,2286.16,1880,1
"248","Yes","2000 - 2004",54207,1,13,150,0,1
"249","Yes","2000 - 2004",54354,3,47,19590.36,112037,1
"250","No","2000 - 2004",54427,1,44,4132.72,25712,1
"251","No","2000 - 2004",54594,1,2,4.21,4,1
"252","No","2000 - 2004",54667,1,2,4.38,0,1
"253","No","2000 - 2004",55023,1,10,385.09,414,1
"254","No","2000 - 2004",55278,4,201,207371.58,13514157,15
"255","No","2000 - 2004",55426,3,134,185327.23,171768,1
"256","No","2000 - 2004",55519,1,66,14322.78,50207,1
"257","Yes","2000 - 2004",55999,2,58,14909.96,6095,1
"258","No","2000 - 2004",56057,1,19,273.98,3626,1
"259","No","2000 - 2004",56069,3,80,9817.55,61348,1
"260","No","2000 - 2004",56207,2,103,80083.73,1441379,1
"261","No","2000 - 2004",56290,1,31,1576.96,57280,1
"262","No","2000 - 2004",56478,1,68,14729.27,12663,1
"263","No","2000 - 2004",56503,1,41,10276.68,30657,1
"264","No","2000 - 2004",56556,2,70,8481.86,19314,1
"265","No","2000 - 2004",56949,4,333,20015124.57,1206366,1
"266","No","2000 - 2004",57019,1,15,1056,773,1
"267","Yes","2000 - 2004",57269,1,1,2.66,0,1
"268","No","2000 - 2004",57322,1,3,-55.87,0,1
"269","No","2000 - 2004",57650,3,16,6840,532,1
"270","No","2000 - 2004",57746,1,16,0,0,1
"271","No","2000 - 2004",57934,2,99,8828.81,188176,1
"272","No","2000 - 2004",58044,2,5,48.14,32,1
"273","No","2000 - 2004",58194,1,16,1249.81,39028,1
"274","Yes","2000 - 2004",58392,5,349,3344615.35,51910912,3
"275","No","2000 - 2004",58511,2,75,67671.6,2349,1
"276","Yes","2000 - 2004",58633,1,19,0,9012,1
"277","No","2000 - 2004",58756,1,1,160.5,0,1
"278","No","2000 - 2004",59124,1,2,-120.47,0,1
"279","No","2000 - 2004",59208,3,227,144982.34,5648809,11
"280","No","2000 - 2004",59370,1,22,5061.25,6959,1
"281","No","2000 - 2004",59441,1,21,1945.01,27108,7
"282","No","2000 - 2004",59723,2,135,569753,12659495,1
"283","No","2000 - 2004",60069,1,16,0,0,1
"284","No","2000 - 2004",60139,4,345,276160.18,5489711,1
"285","No","2000 - 2004",60224,1,27,391.34,5874,1
"286","No","2000 - 2004",60229,1,3,16.04,2,1
"287","No","2000 - 2004",60388,2,71,29858.07,25307,1
"288","No","2000 - 2004",60512,1,57,5146.48,163808,4
"289","No","2000 - 2004",60560,2,98,3422.78,47006,1
"290","No","2000 - 2004",60572,5,333,101015,397444,1
"291","No","2000 - 2004",60583,1,61,77881.53,948185,1
"292","No","2000 - 2004",60799,1,72,5829.51,17234,1
"293","Yes","2000 - 2004",61025,1,3,16.51,2,1
"294","Yes","2000 - 2004",61098,3,69,65923.85,1178996,3
"295","No","2000 - 2004",61159,1,61,7358.5,14882,1
"296","No","2000 - 2004",61220,3,220,36512.44,421793,2
"297","No","2000 - 2004",61234,2,95,4122.86,156826,3
"298","No","2000 - 2004",61314,1,57,5012.51,48925,1
"299","No","2000 - 2004",61508,5,392,150517.6,975122,2
"300","No","2000 - 2004",61574,1,60,1543.56,33614,5
"301","No","2000 - 2004",61637,2,138,57558.94,711441,1
"302","No","2000 - 2004",61761,2,39,554.84,2348,2
"303","No","2000 - 2004",61873,1,11,101.41,306,1
"304","No","2000 - 2004",61985,1,20,560.47,4500,1
"305","No","2000 - 2004",62116,4,372,190120.9,1733918,1
"306","No","2000 - 2004",62286,5,423,625112.23,1616802,2
"307","No","2000 - 2004",62546,2,18,1132.52,2910,1
"308","No","2000 - 2004",63343,1,3,20.63,2,1
"309","No","2000 - 2004",63431,2,117,3583.01,52907,1
"310","No","2000 - 2004",63525,2,335,485046.29,439475,2
"311","No","2000 - 2004",63618,4,399,288249.02,4528786,1
"312","No","2000 - 2004",63676,1,99,26261.88,75026,1
"313","No","2000 - 2004",63795,4,212,85423.22,502917,1
"314","No","2000 - 2004",63841,1,67,10475.63,215076,1
"315","No","2000 - 2004",63970,1,6,19401.38,0,1
"316","No","2000 - 2004",64008,2,63,79529.47,81461,3
"317","No","2000 - 2004",64118,1,81,18038.42,177806,1
"318","No","2000 - 2004",64201,4,175,41240.81,109911,2
"319","No","2000 - 2004",64248,7,207,168153.32,1681853,4
"320","No","2000 - 2004",64293,4,176,78020.86,1774323,1
"321","No","2000 - 2004",65114,2,43,22383.92,183510,2
"322","No","2000 - 2004",65311,1,20,1497.29,2729,1
"323","No","2000 - 2004",65847,1,1,0.44,4,1
"324","No","2000 - 2004",65881,6,860,3461071.74,99543259,2
"325","Yes","2000 - 2004",65890,1,17,3659.9,6152,1
"326","No","2000 - 2004",65908,1,84,12785.12,34700,1
"327","No","2000 - 2004",65976,4,221,159502.97,5633053,1
"328","No","2000 - 2004",66163,4,221,79190.55,591933,4
"329","Yes","2000 - 2004",66220,1,6,1029.7,155,1
"330","No","2000 - 2004",66258,4,273,159822.34,997685,1
"331","Yes","2000 - 2004",66463,1,39,695.93,2335,1
"332","No","2000 - 2004",66552,2,6,64.2,52,1
"333","No","2000 - 2004",66580,5,133,106088.94,409810,2
"334","No","2000 - 2004",67302,3,162,100557.33,1771527,3
"335","No","2000 - 2004",67519,3,151,1209338.26,1198214,2
"336","No","2000 - 2004",67561,2,2,5601.65,15,2
"337","No","2000 - 2004",67606,6,385,410260.35,12842420,2
"338","No","2000 - 2004",67769,1,27,321.66,1628,1
"339","No","2000 - 2004",67844,2,50,1275.97,25532,2
"340","No","2000 - 2004",67877,2,44,7730.93,14079,1
"341","No","2000 - 2004",68152,2,57,15231.47,31866,1
"342","No","2000 - 2004",68302,5,317,1569262.67,1835757,3
"343","No","2000 - 2004",68317,2,57,4280.72,51316,1
"344","No","2000 - 2004",68335,1,2,12.07,598,1
"345","No","2000 - 2004",68357,3,559,313513.41,4730201,3
"346","No","2000 - 2004",68401,1,13,56.94,0,1
"347","No","2000 - 2004",68420,1,49,524.94,6928,1
"348","No","2000 - 2004",68577,9,590,1874445.5,59860870,10
"349","Yes","2000 - 2004",68599,2,42,3591.71,14993,1
"350","Yes","2000 - 2004",68846,8,329,626639.65,22557740,3
"351","Yes","2000 - 2004",68951,3,105,107324.8,5275294,1
"352","No","2000 - 2004",69231,3,109,48268.29,470117,1
"353","No","2000 - 2004",69269,2,41,9773.36,93319,1
"354","No","2000 - 2004",69281,1,54,4947.33,11891,2
"355","No","2000 - 2004",69374,3,288,193846.41,8180136,1
"356","No","2000 - 2004",69690,1,12,12711.6,0,1
"357","No","2000 - 2004",69820,1,51,8183.32,99687,1
"358","No","2000 - 2004",69863,5,321,253045.58,9962172,542
"359","No","2000 - 2004",69968,1,17,36.21,0,1
"360","No","2000 - 2004",70034,3,159,75494.27,186254,1
"361","No","2000 - 2004",70062,2,80,41615.36,65380,1
"362","Yes","2000 - 2004",70105,1,45,3306.45,59313,1
"363","No","2000 - 2004",70132,1,4,90.22,553,1
"364","No","2000 - 2004",70169,1,83,2893.81,14119,1
"365","No","2000 - 2004",70172,6,711,2392363.19,55540781,6
"366","No","2000 - 2004",70304,2,52,7562.31,80349,4
"367","No","2000 - 2004",70418,1,13,281.72,5801,1
"368","No","2000 - 2004",70460,2,110,15574.32,172306,2
"369","No","2000 - 2004",70511,1,47,6383.89,26297,1
"370","Yes","2000 - 2004",70583,1,43,1006.27,5192,1
"371","No","2000 - 2004",70640,3,133,128858.84,742019,1
"372","No","2000 - 2004",70811,2,171,54413.52,1780794,19
"373","No","2000 - 2004",70929,1,77,54197.78,63636,1
"374","No","2000 - 2004",71028,4,205,340563.09,4144486,1
"375","No","2000 - 2004",71063,2,40,589.88,20998,1
"376","No","2000 - 2004",71065,3,161,156929.69,915773,1
"377","Yes","2000 - 2004",71090,1,3,6.57,0,1
"378","No","2000 - 2004",71118,4,245,123274.43,376902,5
"379","No","2000 - 2004",71488,3,127,107307.46,2681435,1
"380","No","2000 - 2004",71527,3,130,17630.12,610556,1
"381","Yes","2000 - 2004",71579,1,39,717.24,23044,1
"382","No","2000 - 2004",71759,6,603,1285889.07,13757793,2
"383","No","2000 - 2004",71846,1,17,1402.5,0,1
"384","No","2000 - 2004",71986,3,89,8747.94,117707,1
"385","No","2000 - 2004",72409,7,672,2064735.76,4172357,5
"386","No","2000 - 2004",72539,1,38,2454.57,7027,1
"387","No","2000 - 2004",72651,2,63,6997.8,12357,1
"388","No","2000 - 2004",72665,2,65,774713.29,0,1
"389","No","2000 - 2004",72682,4,182,345953.11,4992004,2
"390","No","2000 - 2004",72738,2,43,2276.99,13886,1
"391","No","2000 - 2004",72740,1,17,896.34,15196,1
"392","No","2000 - 2004",72756,2,81,45973.64,37555,1
"393","No","2000 - 2004",72915,1,28,2397.23,6605,1
"394","No","2000 - 2004",72951,1,36,4642.14,42096,8
"395","No","2000 - 2004",73021,5,363,279879.28,7806434,1
"396","Yes","2000 - 2004",73043,4,106,49080.05,1993550,1
"397","No","2000 - 2004",73080,3,213,576632.51,142029,1
"398","No","2000 - 2004",73156,2,68,8206.57,90448,15
"399","No","2000 - 2004",73216,1,17,33.83,0,1
"400","No","2000 - 2004",73271,2,6,27.26,208,1
"401","No","2000 - 2004",73301,1,42,10478.57,15271,1
"402","Yes","2000 - 2004",73363,2,46,18845.84,79072,1
"403","No","2000 - 2004",73365,1,39,1314.95,28276,5
"404","No","2000 - 2004",73439,2,166,98700.2,905570,1
"405","No","2000 - 2004",73470,2,56,4852.99,83477,1
"406","No","2000 - 2004",73607,1,6,123.36,340,1
"407","No","2000 - 2004",73609,1,4,5.22,4,1
"408","No","2000 - 2004",73615,1,85,10248.1,51737,1
"409","No","2000 - 2004",73630,1,39,2386.11,8966,1
"410","No","2000 - 2004",73637,1,7,155.44,153,1
"411","No","2000 - 2004",73705,1,88,16371.86,8979,1
"412","No","2000 - 2004",73797,5,519,431499.09,1217862,3
"413","No","2000 - 2004",73799,1,5,74.4,216,1
"414","No","2000 - 2004",73811,1,31,972.48,4669,1
"415","No","2000 - 2004",73819,1,5,982.68,1582,1
"416","Yes","2000 - 2004",73979,1,4,-650,0,4
"417","No","2000 - 2004",74026,2,4,21.72,10,1
"418","No","2000 - 2004",74281,5,341,341899.35,4558161,1
"419","No","2000 - 2004",74322,3,221,54398.32,474434,6
"420","No","2000 - 2004",74327,4,256,193376.7,3140339,1
"421","No","2000 - 2004",74341,4,158,196252.38,2536404,2
"422","No","2000 - 2004",74518,4,211,143095.25,3565318,1
"423","No","2000 - 2004",74565,1,50,2909.13,47902,1
"424","No","2000 - 2004",74634,3,61,4254.73,35115,5
"425","No","2000 - 2004",74794,1,2,0.15,12,1
"426","No","2000 - 2004",74815,2,25,10433.97,4204,1
"427","No","2000 - 2004",74861,2,23,657.33,35105,1
"428","No","2000 - 2004",75020,4,36,2403.04,87060,8
"429","No","2000 - 2004",75148,2,126,34912.49,69222,1
"430","No","2000 - 2004",75156,1,29,1491.83,76948,2
"431","No","2000 - 2004",75173,5,558,726239.35,1548686,1
"432","No","2000 - 2004",75303,2,172,61526.3,1196397,13
"433","No","2000 - 2004",75306,5,163,1230171.81,11486007,2
"434","No","2000 - 2004",75330,4,16,40.97,925,1
"435","Yes","2000 - 2004",75413,1,19,28.46,5,2
"436","No","2000 - 2004",75556,1,45,17439.51,496856,1
"437","No","2000 - 2004",75558,2,41,3971.33,14050,1
"438","No","2000 - 2004",75581,2,63,3275.65,8414,1
"439","No","2000 - 2004",75603,1,38,7435.85,500496,1
"440","No","2000 - 2004",75642,4,152,135931.03,2410242,1
"441","No","2000 - 2004",75651,2,28,648.28,20481,2
"442","No","2000 - 2004",75672,3,85,12732.26,286102,1
"443","No","2000 - 2004",75839,1,101,36553.02,23978,1
"444","No","2000 - 2004",75891,1,77,11624.91,29193,1
"445","No","2000 - 2004",76021,4,329,917039.45,599225,2
"446","No","2000 - 2004",76339,1,16,439.84,0,1
"447","No","2000 - 2004",76415,1,10,399.99,3422,1
"448","No","2000 - 2004",76519,1,22,7179.12,10738,1
"449","No","2000 - 2004",76566,1,8,418.87,1446,1
"450","No","2000 - 2004",76576,2,164,43864.56,187672,1
"451","No","2000 - 2004",77050,1,2,64.29,98,1
"452","Yes","2000 - 2004",77529,1,3,-273.09,1458,1
"453","No","2000 - 2004",77873,1,30,4130.19,6364,1
"454","No","2000 - 2004",78214,1,40,19317.79,24829,1
"455","No","2000 - 2004",78438,3,244,172468.6,1764249,3
"456","No","2000 - 2004",78592,1,3,6.54,0,1
"457","Yes","2000 - 2004",78646,1,13,11319.36,0,1
"458","No","2000 - 2004",78709,5,524,662315.68,697199,11
"459","No","2000 - 2004",78732,1,34,1613.39,15343,1
"460","No","2000 - 2004",78891,4,508,1198023.23,18789814,2
"461","No","2000 - 2004",78956,4,125,59740.85,302022,1
"462","No","2000 - 2004",79115,3,214,123663.22,205657,2
"463","No","2000 - 2004",79202,3,141,59827.76,85218,1
"464","No","2000 - 2004",79308,1,6,516,2569,1
"465","No","2000 - 2004",79438,1,2,26.21,1272,1
"466","No","2000 - 2004",79714,2,40,3152.4,24828,2
"467","No","2000 - 2004",79791,1,17,36.21,0,1
"468","No","2000 - 2004",79937,1,6,9.14,103,1
"469","No","2000 - 2004",79950,1,58,8574.59,11501,1
"470","No","2000 - 2004",80177,3,277,715090.64,6385053,1
"471","No","2000 - 2004",80308,2,8,541.56,1331,3
"472","No","2000 - 2004",80353,3,83,5882.23,39141,5
"473","No","2000 - 2004",80447,2,99,35334.14,248987,1
"474","Yes","2000 - 2004",80478,2,7,1200.71,230,1
"475","No","2000 - 2004",80486,1,20,1774.27,5469,1
"476","No","2000 - 2004",80665,3,98,13725.26,1120510,38
"477","No","2000 - 2004",80668,4,316,246984.58,4959914,2
"478","No","2000 - 2004",80744,1,67,2895.98,13315,1
"479","No","2000 - 2004",80946,4,156,56398.9,205527,1
"480","No","2000 - 2004",81048,4,425,1009684.24,3515389,3
"481","No","2000 - 2004",81183,1,26,3902.4,116580,2
"482","No","2000 - 2004",81211,6,318,386103.64,21871499,1409
"483","No","2000 - 2004",81233,3,190,186656,1321471,1
"484","No","2000 - 2004",81253,1,32,1630.67,7271,1
"485","No","2000 - 2004",81310,2,16,7332,23485,2
"486","No","2000 - 2004",81384,1,7,811.01,1661,1
"487","No","2000 - 2004",81390,2,47,5324.26,12258,1
"488","No","2000 - 2004",81395,4,722,2806568.65,70859960,2
"489","No","2000 - 2004",81426,2,109,84548.93,219061,1
"490","No","2000 - 2004",81451,1,31,396.63,3104,1
"491","No","2000 - 2004",81472,4,144,7589.45,103016,2
"492","No","2000 - 2004",81600,1,42,2405.55,12890,1
"493","No","2000 - 2004",81768,2,74,9997.68,133711,1
"494","No","2000 - 2004",81769,1,1,-439.8,0,1
"495","No","2000 - 2004",81785,2,64,2234.19,39881,1
"496","No","2000 - 2004",81846,1,34,7180.39,27240,1
"497","No","2000 - 2004",81869,4,127,16054.23,311202,20
"498","No","2000 - 2004",81962,1,56,10725.87,141584,1
"499","No","2000 - 2004",81965,1,1,-39.16,0,1
"500","Yes","2000 - 2004",81975,1,1,0,12,1
"501","No","2000 - 2004",82092,3,168,51316.37,197739,2
